Country Name,Country Code,Series Name,Series Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Afghanistan,AFG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.45131466066431,2.26031420279821,2.6470032027451,1.18922812944517,3.91160341625552,-2.35110067203466,-20.7388393676343,-6.24017199240269,2.26694373649188,..
Afghanistan,AFG,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,565.569730408751,563.872336723147,562.769574140988,553.125151688293,557.861533207459,527.834554499306,408.625855217403,377.665627080705,378.06630312259,..
Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,62.27,62.646,62.406,62.443,62.941,61.454,60.417,65.617,66.035,..
Albania,ALB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.2277040745779,3.90893551362245,3.28317593330073,3.67141928098908,2.06257790176122,-3.31375636888916,8.96957619074095,4.82669611912765,3.93661689192599,3.96171911223713
Albania,ALB,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,3981.72662261867,4143.98988316994,4283.98262744437,4452.23714652476,4563.4673625169,4437.65346927974,4880.72346162808,5178.88431481499,5444.93000074979,5726.02570530968
Albania,ALB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.358,78.643,78.9,79.238,79.467,77.824,76.844,78.769,79.602,..
Algeria,DZA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.20000000089023,3.90000000017621,1.49999999895587,1.40000000088281,0.899999999219148,-4.99999999908597,3.79999999900707,3.60000000094915,4.10000000005964,3.29999999939609
Algeria,DZA,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,4685.05902729002,4768.73140081027,4742.90075532529,4717.0035885361,4672.66408678635,4363.68533767783,4456.74687637774,4544.46688060372,4660.40545687895,4747.34624759338
Algeria,DZA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.159,75.31,75.431,75.555,75.682,73.257,75.208,76.129,76.261,..
American Samoa,ASM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.14960629921259,-1.67938931297709,-6.98757763975155,2.6711185308848,-0.487804878048777,4.41176470588236,-0.782472613458523,1.73501577287065,..,..
American Samoa,ASM,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,12727.4102651386,12665.2829921268,11930.7771236826,12412.6024074562,12524.0160252283,13194.274740128,13233.5784817341,13709.0974895473,..,..
American Samoa,ASM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.654,72.64,72.801,72.794,72.751,72.672,72.708,72.752,72.852,..
Andorra,AND,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.43414039522716,3.70967806978986,0.346071889630295,1.58876549046354,2.01554763848308,-11.1839399355384,8.28677879049404,9.56461225648184,2.58355480961319,3.37182032638998
Andorra,AND,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,38654.9347203095,40085.0205971586,39361.0622634329,39242.1448960772,39346.2750344286,34536.6499209948,36929.0191515162,39780.3966116268,40227.2335282714,41034.5073956102
Andorra,AND,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,84.532,84.489,84.359,84.242,84.098,79.418,82.331,84.016,84.041,..
Angola,AGO,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.943571561325001,-2.58004964404932,-0.147212941085755,-1.31636168896895,-0.702272957616017,-5.63821471714934,1.19921052145153,3.04472652391918,1.07809951970673,4.42390452944746
Angola,AGO,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,3213.90261080059,3020.98332805417,2911.60084214038,2775.74642272991,2664.43850995544,2433.37637275564,2385.44881834294,2382.02263952585,2334.66104267184,2364.84659101208
Angola,AGO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,61.042,61.619,62.122,62.622,63.051,63.116,62.958,64.246,64.617,..
Antigua and Barbuda,ATG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.42161997595372,4.1203675438061,2.71272657973627,6.71200487159726,3.1722219373937,-18.8687765208148,8.17286311186622,9.10780623385958,2.42736300110336,4.32752145036402
Antigua and Barbuda,ATG,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,16077.6340769406,16635.895232831,16992.9327495236,18042.1596435727,18525.2588907167,14950.8942397208,16084.7214406048,17456.8722243104,17789.4058123944,18468.9951703724
Antigua and Barbuda,ATG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.892,76.968,77.03,77.132,77.168,77.161,77.197,77.483,77.598,..
Argentina,ARG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.73115982828944,-2.08032784377811,2.81850297775918,-2.61739646282038,-2.00086100285785,-9.9004848136464,10.4418119882506,5.26987967384072,-1.61100162090189,-1.71910514722377
Argentina,ARG,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,13679.6264980954,13265.8860639123,13520.1129846159,13058.3285449954,12706.3978108968,11393.0505957877,12549.2811699342,13182.7933950725,12933.2497342121,12667.0313654373
